date_part,new_diy_flag,agent_id,created,saved,sent,downloaded,psm_detail,psm_review,checkout,bookings
2026-08-18,0,hes8318,4,4,3,0,2,1,0,0
2026-08-18,0,hes8977,17,16,6,8,,,0,0
2026-08-18,0,rmdn1559,9,8,2,5,6,,0,0
2026-08-18,0,frainfantryroad1,1,1,0,1,,,0,0
2026-08-18,0,hes8984,4,4,4,0,,,0,0
2026-08-18,0,HES4448,10,10,10,0,4,,0,0
2026-08-18,1,hes6875,5,3,2,0,2,,0,0
2026-08-18,0,hes5125,7,7,7,0,4,1,0,0
2026-08-18,0,HES4544,4,4,4,0,4,,0,0
2026-08-18,0,rmdn6887,16,15,1,13,1,,0,0
2026-08-18,0,rmdn8240,14,13,2,10,2,,0,0
2026-08-18,0,hes7620,5,4,4,0,5,1,0,0
2026-08-18,0,hes5443,22,20,11,7,9,2,0,0
2026-08-18,0,HES3398,1,1,0,1,,,0,0
2026-08-18,1,HES6224,1,1,0,1,,,0,0
2026-08-18,0,HES0558,2,1,0,1,,,0,0
2026-08-18,0,icsats92879,26,26,26,0,21,11,0,0
2026-08-18,0,HES5096,8,6,1,4,,,0,0
2026-08-18,0,rmdn8552,6,6,5,0,3,2,0,0
2026-08-18,1,hes7929,3,2,1,1,,,0,0
2026-08-18,0,HES4113,3,3,1,2,1,,0,0
2026-08-18,0,hes5926,6,5,1,4,,,0,0
2026-08-18,0,hes6117,6,6,4,2,3,,0,0
2026-08-18,0,hes9111,5,4,0,4,1,,0,0
2026-08-18,1,hes5932,1,1,1,0,,,0,0
2026-08-18,1,hes8167,3,2,0,2,,,0,0
2026-08-18,1,HES8480,1,1,0,1,,,0,0
2026-08-18,0,rmdn7040,3,3,3,0,1,,0,0
2026-08-18,0,FRA00126,5,4,4,0,,,0,0
2026-08-18,0,hes9007,5,5,4,1,,,0,0
2026-08-18,0,hes9065,1,1,0,1,,,0,0
2026-08-18,1,rmdn3759,1,1,1,0,,,0,0
2026-08-18,0,hes7214,9,8,4,4,3,,0,0
2026-08-18,0,hes8969,8,6,3,3,,,0,0
2026-08-18,0,HES3823,10,9,9,0,5,2,0,0
2026-08-18,0,hes9010,1,1,0,1,,,0,0
2026-08-18,0,hes6568,4,4,0,3,,,0,0
2026-08-18,0,hes7338,1,1,0,1,,,0,0
2026-08-18,0,hes7877,28,27,22,0,8,5,0,0
2026-08-18,1,hes9227,9,7,3,3,,,0,0
2026-08-18,0,hes8026,3,3,3,0,3,,0,0
2026-08-18,0,HES4307,3,3,3,0,2,,0,0
2026-08-18,0,hes8718,4,4,0,4,,,0,0
2026-08-18,1,hes6999,1,1,0,1,,,0,0
2026-08-18,0,hes9322,4,3,3,0,1,,0,0
2026-08-18,0,hes5327,17,14,2,12,3,,0,0
2026-08-18,0,hes8836,9,7,5,2,3,,0,0
2026-08-18,0,hes7233,9,8,8,0,,,0,0
2026-08-18,0,hes6158,4,4,1,3,2,,0,0
2026-08-18,0,HES5058,1,1,1,0,,,0,0
2026-08-18,0,hes6885,8,7,6,0,6,4,0,0
2026-08-18,1,hes9007,1,1,0,1,1,,0,0
2026-08-18,1,hes7260,8,7,3,4,3,1,0,0
2026-08-18,0,flm0064,2,1,0,1,,,0,0
2026-08-18,0,hes7827,1,1,0,1,,,0,0
2026-08-18,0,hes6236,4,3,0,3,,,0,0
2026-08-18,0,hes9155,2,2,2,0,2,,0,0
2026-08-18,0,fraccuesplanade4,1,1,0,1,,,0,0
2026-08-18,0,vadod004,2,2,1,1,,,0,0
2026-08-18,0,FRA00080,8,6,6,0,3,,0,0
2026-08-18,0,hes7929,3,3,0,3,,,0,0
2026-08-18,1,HES4707,3,3,1,0,1,,0,0
2026-08-18,0,hes7969,6,5,2,2,,,0,0
2026-08-18,0,hes7725,8,8,4,3,1,,0,0
2026-08-18,1,hes9290,1,1,0,0,,,0,0
2026-08-18,1,ins1218,2,2,0,2,1,,0,0
